,midterm_s,pct_reg_of_vep_vrs_s,percentcitizenblack_s,percentcitizenwhite_s,nonvoter_reg_pct_s,turnout_pred
366,0,0.75,0.4,0.5,0.03,0.5762720000000033
367,0,0.75,0.4,0.5,0.04,0.5750800000000031
368,0,0.75,0.4,0.5,0.05,0.5745160000000027
369,0,0.75,0.4,0.5,0.06,0.5745680000000027
370,0,0.75,0.4,0.5,0.07,0.5746320000000027
371,0,0.75,0.4,0.5,0.08,0.5745400000000027
372,0,0.75,0.4,0.5,0.09,0.5743570000000027
373,0,0.75,0.4,0.5,0.1,0.5745110000000025
374,0,0.75,0.4,0.5,0.11,0.5752640000000023
375,0,0.75,0.4,0.5,0.12,0.5752010000000024
376,0,0.75,0.4,0.5,0.13,0.5742970000000025
377,0,0.75,0.4,0.5,0.14,0.5738670000000026
378,0,0.8,0.4,0.5,0.01,0.6089170000000063
379,0,0.8,0.4,0.5,0.02,0.5887560000000043
380,0,0.8,0.4,0.5,0.03,0.5879690000000043
381,0,0.8,0.4,0.5,0.04,0.5885500000000039
382,0,0.8,0.4,0.5,0.05,0.5887910000000038
383,0,0.8,0.4,0.5,0.06,0.5899570000000044
384,0,0.8,0.4,0.5,0.07,0.5904470000000048
385,0,0.8,0.4,0.5,0.08,0.5907070000000048
386,0,0.8,0.4,0.5,0.09,0.5905740000000049
387,0,0.8,0.4,0.5,0.1,0.5904570000000052
388,0,0.8,0.4,0.5,0.11,0.5898990000000055
389,0,0.8,0.4,0.5,0.12,0.5884960000000052
390,0,0.8,0.4,0.5,0.13,0.5855950000000052
391,0,0.8,0.4,0.5,0.14,0.5853880000000049
392,0,0.85,0.4,0.5,0.01,0.6783070000000047
393,0,0.85,0.4,0.5,0.02,0.6777900000000043
394,0,0.85,0.4,0.5,0.03,0.6788900000000039
395,0,0.85,0.4,0.5,0.04,0.680972000000004
396,0,0.85,0.4,0.5,0.05,0.6805800000000048
397,0,0.85,0.4,0.5,0.06,0.6794970000000047
398,0,0.85,0.4,0.5,0.07,0.6777140000000047
399,0,0.85,0.4,0.5,0.08,0.674706000000005
400,0,0.85,0.4,0.5,0.09,0.6749250000000049
401,0,0.85,0.4,0.5,0.1,0.673646000000005
402,0,0.85,0.4,0.5,0.11,0.673222000000005
403,0,0.85,0.4,0.5,0.12,0.6732140000000051
404,0,0.85,0.4,0.5,0.13,0.6731540000000051
405,0,0.85,0.4,0.5,0.14,0.6731890000000051
406,0,0.9,0.4,0.5,0.01,0.7096970000000014
407,0,0.9,0.4,0.5,0.02,0.7095160000000014
408,0,0.9,0.4,0.5,0.03,0.710401000000001
409,0,0.9,0.4,0.5,0.04,0.7119530000000008
410,0,0.9,0.4,0.5,0.05,0.7084410000000031
411,0,0.9,0.4,0.5,0.06,0.707014000000003
412,0,0.9,0.4,0.5,0.07,0.7052680000000031
413,0,0.9,0.4,0.5,0.08,0.7027810000000029
414,0,0.9,0.4,0.5,0.09,0.702850000000003
415,0,0.9,0.4,0.5,0.1,0.7010670000000029
416,0,0.9,0.4,0.5,0.11,0.7001490000000026
417,0,0.9,0.4,0.5,0.12,0.7001490000000026
418,0,0.9,0.4,0.5,0.13,0.7001490000000026
419,0,0.9,0.4,0.5,0.14,0.7001630000000026
420,0,0.7,0.03,0.6,0.01,0.6027490000000042
421,0,0.7,0.03,0.6,0.02,0.5706170000000049
422,0,0.7,0.03,0.6,0.03,0.5711150000000045
423,0,0.7,0.03,0.6,0.04,0.5699890000000042
424,0,0.7,0.03,0.6,0.05,0.5692320000000037
425,0,0.7,0.03,0.6,0.06,0.5693110000000038
426,0,0.7,0.03,0.6,0.07,0.5693360000000037
427,0,0.7,0.03,0.6,0.08,0.5692640000000039
428,0,0.7,0.03,0.6,0.09,0.5690480000000039
429,0,0.7,0.03,0.6,0.1,0.5692300000000038
430,0,0.7,0.03,0.6,0.11,0.5702830000000036
431,0,0.7,0.03,0.6,0.12,0.5702470000000037
432,0,0.7,0.03,0.6,0.13,0.5694460000000038
433,0,0.7,0.03,0.6,0.14,0.5691100000000038
434,0,0.75,0.03,0.6,0.01,0.6039270000000038
435,0,0.75,0.03,0.6,0.02,0.5728360000000042
436,0,0.75,0.03,0.6,0.03,0.5730950000000037
437,0,0.75,0.03,0.6,0.04,0.5718610000000033
438,0,0.75,0.03,0.6,0.05,0.5711040000000028
439,0,0.75,0.03,0.6,0.06,0.5711830000000031
440,0,0.75,0.03,0.6,0.07,0.5711890000000029
441,0,0.75,0.03,0.6,0.08,0.5711010000000031
442,0,0.75,0.03,0.6,0.09,0.570861000000003
443,0,0.75,0.03,0.6,0.1,0.571054000000003
444,0,0.75,0.03,0.6,0.11,0.5721220000000028
445,0,0.75,0.03,0.6,0.12,0.5721050000000029
446,0,0.75,0.03,0.6,0.13,0.5710650000000032
447,0,0.75,0.03,0.6,0.14,0.5706350000000032
448,0,0.8,0.03,0.6,0.01,0.611389000000006
449,0,0.8,0.03,0.6,0.02,0.5929290000000041
450,0,0.8,0.03,0.6,0.03,0.5916030000000041
451,0,0.8,0.03,0.6,0.04,0.5920890000000034
452,0,0.8,0.03,0.6,0.05,0.5919760000000034
453,0,0.8,0.03,0.6,0.06,0.5933800000000041
454,0,0.8,0.03,0.6,0.07,0.5938780000000046
455,0,0.8,0.03,0.6,0.08,0.5943050000000046
456,0,0.8,0.03,0.6,0.09,0.5943560000000048
457,0,0.8,0.03,0.6,0.1,0.5944850000000051
458,0,0.8,0.03,0.6,0.11,0.5945140000000053
459,0,0.8,0.03,0.6,0.12,0.5930670000000052
460,0,0.8,0.03,0.6,0.13,0.5906070000000052
461,0,0.8,0.03,0.6,0.14,0.5904000000000049
462,0,0.85,0.03,0.6,0.01,0.6779710000000045
463,0,0.85,0.03,0.6,0.02,0.6774540000000042
464,0,0.85,0.03,0.6,0.03,0.6785540000000039
465,0,0.85,0.03,0.6,0.04,0.680594000000004
466,0,0.85,0.03,0.6,0.05,0.6802020000000047
467,0,0.85,0.03,0.6,0.06,0.6791190000000048
468,0,0.85,0.03,0.6,0.07,0.6773360000000048
469,0,0.85,0.03,0.6,0.08,0.674216000000005
470,0,0.85,0.03,0.6,0.09,0.674435000000005
471,0,0.85,0.03,0.6,0.1,0.6731560000000051
