Year,ICPSR State Code,Alphanumeric State Code,StateName,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
2012,11,8,Delaware,,0.623,0.578,,413921,663967,715708,0.05100000,6610,15641,601,15501,
2012,55,9,District of Columbia,0.616,0.615,0.555,294254,293764,477582,528848,0.09700000,0,0,0,0,
2012,43,10,Florida,0.633,0.628,0.551,8538264,8474179,13495057,15380947,0.10800000,91954,240869,4538,224153,
2012,44,11,Georgia,0.593,0.59,0.523,3919355,3900050,6606607,7452696,0.07200000,52737,442061,24761,311790,
2012,82,12,Hawaii,0.445,0.442,0.399,437159,434697,982902,1088335,0.09200000,5544,0,0,5544,
2012,63,13,Idaho,0.61,0.598,0.556,666290,652274,1091410,1173727,0.04600000,7985,31606,3848,28584,
2012,21,14,Illinois,0.593,0.589,0.533,5279752,5242014,8899143,9827043,0.08900000,49348,0,0,49348,
2012,22,15,Indiana,0.56,0.552,0.529,2663368,2624534,4755291,4960376,0.03600000,28266,0,0,28266,
2012,31,16,Iowa,0.706,0.703,0.671,1589951,1582180,2251748,2356209,0.03200000,8470,29333,5151,29167,
2012,32,17,Kansas,0.582,0.569,0.535,1182771,1156254,2030686,2162442,0.05000000,9346,17021,5126,23493,
2012,51,18,Kentucky,0.562,0.557,0.534,1815843,1797212,3229185,3368684,0.02200000,21863,54511,14419,65173,
2012,45,19,Louisiana,0.608,0.602,0.57,2014548,1994065,3311626,3495847,0.02700000,40047,41298,28946,90881,
2012,2,20,Maine,0.693,0.682,0.67,724758,713180,1046008,1064779,0.01800000,0,0,0,0,
2012,52,21,Maryland,0.673,0.666,0.595,2734062,2707327,4063582,4553853,0.08900000,20871,96640,13195,85285,
2012,3,22,Massachusetts,0.662,0.659,0.602,3184196,3167767,4809675,5263550,0.08400000,10283,0,0,10283,
2012,23,23,Michigan,0.654,0.647,0.62,4780701,4730961,7312725,7625576,0.03500000,43019,0,0,43019,
2012,33,24,Minnesota,0.764,0.76,0.714,2950780,2936561,3861598,4114820,0.04400000,9383,108157,6006,72712,
2012,46,25,Mississippi,,0.593,0.572,,1285584,2166825,2246931,0.01500000,22305,30768,6804,45416,
2012,34,26,Missouri,,0.622,0.596,,2757323,4432957,4628500,0.02500000,30714,55470,20672,80785,
2012,64,27,Montana,0.635,0.625,0.616,491966,484048,774476,785454,0.00900000,3592,0,0,3592,
