YearState,ElectionYear,StateAbbreviation,DemocratCandidateVotes,RepublicanCandidateVotes,OtherCandidateVotes,TotalVotes,PercentDemocrat,PercentRepublican ,PercentOther,FirstPlace,SecondPlace,Competivness
2012-WA,2012,WA,1755396,1290670,79450,3125516,0.5616,0.4129,0.0254,0.5616,0.4129,0.1487
2012-WI,2012,WI,1620985,1407966,39483,3068434,0.5283,0.4589,0.0129,0.5283,0.4589,0.0694
2012-WV,2012,WV,238269,417655,14514,670438,0.3554,0.623,0.0216,0.623,0.3554,0.2676
2012-WY,2012,WY,69286,170962,8813,249061,0.2782,0.6864,0.0354,0.6864,0.2782,0.4082
2016-AK,2016,AK,163387,116454,38767,318608,0.5128,0.3655,0.1217,0.5128,0.3655,0.1473
2016-AL,2016,AL,1318255,729547,75570,2123372,0.6208,0.3436,0.0356,0.6208,0.3436,0.2772
2016-AR,2016,AR,684872,380494,65310,1130676,0.6057,0.3365,0.0578,0.6057,0.3365,0.2692
2016-AZ,2016,AZ,1252401,1161167,159597,2573165,0.4867,0.4513,0.062,0.4867,0.4513,0.0354
2016-CA,2016,CA,4483814,8753792,943998,14181604,0.3162,0.6173,0.0666,0.6173,0.3162,0.3011
2016-CO,2016,CO,1202484,1338870,238893,2780247,0.4325,0.4816,0.0859,0.4816,0.4325,0.0491
2016-CT,2016,CT,673215,897572,74133,1644920,0.4093,0.5457,0.0451,0.5457,0.4093,0.1364
2016-DC,2016,DC,12723,282830,15715,311268,0.0409,0.9086,0.0505,0.9086,0.0505,0.8581
2016-DE,2016,DE,185127,235603,23084,443814,0.4171,0.5309,0.052,0.5309,0.4171,0.1138
2016-FL,2016,FL,4617886,4504975,297178,9420039,0.4902,0.4782,0.0315,0.4902,0.4782,0.012
2016-GA,2016,GA,2089104,1877963,147665,4114732,0.5077,0.4564,0.0359,0.5077,0.4564,0.0513
2016-HI,2016,HI,128847,266891,33199,428937,0.3004,0.6222,0.0774,0.6222,0.3004,0.3218
2016-IA,2016,IA,800983,653669,111379,1566031,0.5115,0.4174,0.0711,0.5115,0.4174,0.0941
2016-ID,2016,ID,409055,189765,91435,690255,0.5926,0.2749,0.1325,0.5926,0.2749,0.3177
2016-IL,2016,IL,2146015,3090729,299680,5536424,0.3876,0.5583,0.0541,0.5583,0.3876,0.1707
2016-IN,2016,IN,1557286,1033126,144546,2734958,0.5694,0.3777,0.0529,0.5694,0.3777,0.1917
2016-KS,2016,KS,671018,427005,86379,1184402,0.5665,0.3605,0.0729,0.5665,0.3605,0.206
2016-KY,2016,KY,1202971,628854,92324,1924149,0.6252,0.3268,0.048,0.6252,0.3268,0.2984
2016-LA,2016,LA,1178638,780154,70240,2029032,0.5809,0.3845,0.0346,0.5809,0.3845,0.1964
2016-MA,2016,MA,1090893,1995196,238957,3325046,0.3281,0.6001,0.0719,0.6001,0.3281,0.272
2016-MD,2016,MD,943169,1677928,160349,2781446,0.3391,0.6033,0.0576,0.6033,0.3391,0.2642
2016-ME,2016,ME,335593,357735,54599,747927,0.4487,0.4783,0.073,0.4783,0.4487,0.0296
2016-MI,2016,MI,2279543,2268839,250902,4799284,0.475,0.4727,0.0523,0.475,0.4727,0.0023
2016-MN,2016,MN,1322951,1367716,254146,2944813,0.4492,0.4644,0.0863,0.4644,0.4492,0.0152
2016-MO,2016,MO,1594511,1071068,143026,2808605,0.5677,0.3814,0.0509,0.5677,0.3814,0.1863
2016-MS,2016,MS,700714,485131,23512,1209357,0.5794,0.4011,0.0194,0.5794,0.4011,0.1783
2016-MT,2016,MT,279240,177709,40198,497147,0.5617,0.3575,0.0809,0.5617,0.3575,0.2042
2016-NC,2016,NC,2362631,2189316,189617,4741564,0.4983,0.4617,0.04,0.4983,0.4617,0.0366
2016-ND,2016,ND,216794,93758,33808,344360,0.6296,0.2723,0.0982,0.6296,0.2723,0.3573
2016-NE,2016,NE,495961,284494,63772,844227,0.5875,0.337,0.0755,0.5875,0.337,0.2505
2016-NH,2016,NH,345790,348526,49980,744296,0.4646,0.4683,0.0672,0.4683,0.4646,0.0037
2016-NJ,2016,NJ,1601933,2148278,123835,3874046,0.4135,0.5545,0.032,0.5545,0.4135,0.141
2016-NM,2016,NM,319667,385234,93418,798319,0.4004,0.4826,0.117,0.4826,0.4004,0.0822
2016-NV,2016,NV,512058,539260,74067,1125385,0.455,0.4792,0.0658,0.4792,0.455,0.0242
2016-NY,2016,NY,2819533,4556118,345791,7721442,0.3652,0.5901,0.0448,0.5901,0.3652,0.2249
2016-OH,2016,OH,2841005,2394164,261318,5496487,0.5169,0.4356,0.0475,0.5169,0.4356,0.0813
2016-OK,2016,OK,949136,420375,83481,1452992,0.6532,0.2893,0.0575,0.6532,0.2893,0.3639
2016-OR,2016,OR,782403,1002106,216827,2001336,0.3909,0.5007,0.1083,0.5007,0.3909,0.1098
2016-PA,2016,PA,2970733,2926441,268304,6165478,0.4818,0.4746,0.0435,0.4818,0.4746,0.0072
2016-RI,2016,RI,180543,252525,31076,464144,0.389,0.5441,0.067,0.5441,0.389,0.1551
2016-SC,2016,SC,1155389,855373,92265,2103027,0.5494,0.4067,0.0439,0.5494,0.4067,0.1427
