Year-State,Year,SateAbbreviation,StateName,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon
2010-NH,2010,NH,New Hampshire,0.461,0.457,0.442,461423.0,456588.0,999918,1033023,0.028999999999999998,2694,0,0,2761
2010-NJ,2010,NJ,New Jersey,0.377,0.364,0.314,2200974.0,2121584.0,5834037,6750869,0.122,25007,57517,15563,90306
2010-NM,2010,NM,New Mexico,0.447,0.428,0.38799999999999996,630013.0,602827.0,1408872,1552212,0.077,6541,14855,3146,23087
2010-NY,2010,NY,New York,0.363,0.355,0.308,4763899.0,4658586.0,13135048,15111583,0.125,50668,0,48542,80927
2010-NC,2010,NC,North Carolina,0.39799999999999996,0.392,0.364,2700706.0,2660079.0,6785463,7310093,0.061,38341,36740,3621,78667
2010-ND,2010,ND,North Dakota,0.466,0.462,0.45299999999999996,241039.0,238812.0,516974,527497,0.017,1480,0,0,1487
2010-OH,2010,OH,Ohio,0.462,0.449,0.436,3956028.0,3852453.0,8571952,8826908,0.023,51116,0,0,51712
2010-OK,2010,OK,Oklahoma,0.391,0.38799999999999996,0.364,1043507.0,1034767.0,2666767,2839030,0.044000000000000004,25893,20601,2627,48167
2010-OR,2010,OR,Oregon,0.539,0.527,0.48700000000000004,1487210.0,1453548.0,2760607,2984806,0.07,12262,0,0,14014
2010-PA,2010,PA,Pennsylvania,0.424,0.41700000000000004,0.401,4055336.0,3987551.0,9565822,9946290,0.033,50116,0,0,51264
2010-RI,2010,RI,Rhode Island,0.45399999999999996,0.44799999999999995,0.41200000000000003,346357.0,342290.0,763534,829913,0.076,3357,0,0,3357
2010-SC,2010,SC,South Carolina,0.40299999999999997,0.397,0.376,1365480.0,1344198.0,3388417,3571250,0.038,23074,21144,6412,47928
2010-SD,2010,SD,South Dakota,0.539,0.529,0.515,323410.0,317083.0,599507,616113,0.019,3373,0,2843,4856
2010-TN,2010,TN,Tennessee,0.35100000000000003,0.34600000000000003,0.32799999999999996,1620619.0,1601549.0,4622919,4878724,0.035,27213,52178,12157,85708
2010-TX,2010,TX,Texas,0.327,0.321,0.26899999999999996,5066957.0,4979870.0,15514007,18487369,0.135,164507,247136,104763,473167
2010-UT,2010,UT,Utah,0.368,0.363,0.336,653274.0,643307.0,1772934,1914974,0.07,6536,0,0,6807
2010-VT,2010,VT,Vermont,0.498,0.494,0.485,243617.0,241605.0,488942,498254,0.019,0,0,0,0
2010-VA,2010,VA,Virginia,0.391,0.387,0.354,2214505.0,2189841.0,5660589,6194717,0.071,36020,56654,2624,95376
2010-WA,2010,WA,Washington,0.5429999999999999,0.532,0.484,2565589.0,2511094.0,4724350,5190736,0.083,17331,15452,6956,37165
2010-WV,2010,WV,West Virginia,0.37200000000000005,0.368,0.361,536493.0,529948.0,1442003,1468812,0.009000000000000001,6673,6650,1796,14229
2010-WI,2010,WI,Wisconsin,0.524,0.52,0.49700000000000005,2185021.0,2171331.0,4172130,4365214,0.032,22724,22602,19572,55112
2010-WY,2010,WY,Wyoming,0.46,0.455,0.43799999999999994,190822.0,188463.0,414536,430673,0.024,2059,3231,682,5684
2008-AL,2008,AL,Alabama,0.61,0.608,0.584,2105622.0,2099819.0,3454510,3595708,0.022000000000000002,30508,53252,8042,61155
2008-AK,2008,AK,Alaska,0.6829999999999999,0.68,0.643,327341.0,326197.0,479429,507645,0.037000000000000005,5014,6708,1732,9234
2008-AZ,2008,AZ,Arizona,0.574,0.5670000000000001,0.491,2320851.0,2293475.0,4046075,4673718,0.11599999999999999,39589,82232,7534,84472
2008-AR,2008,AR,Arkansas,0.529,0.525,0.5,1095958.0,1086617.0,2071563,2174846,0.028999999999999998,14716,31169,19908,40255
2008-CA,2008,CA,California,0.617,0.609,0.495,13743177.0,13561900.0,22261504,27411094,0.179,173670,0,120753,234047
2008-CO,2008,CO,Colorado,0.716,0.71,0.647,2422236.0,2401361.0,3382959,3708955,0.08,23274,0,11654,29101
2008-CT,2008,CT,Connecticut,0.0,0.6659999999999999,0.604,0.0,1646792.0,2471082,2725917,0.085,20661,0,2328,21825
